rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
549,f,TRUE,180,180,mov,repetition,congruent,1,4
561,j,TRUE,0,180,mov,repetition,incongruent,1,4
642,j,TRUE,180,0,or,switch,incongruent,1,4
558,j,TRUE,0,180,mov,switch,incongruent,1,4
637,j,TRUE,180,0,or,switch,incongruent,1,4
638,f,TRUE,0,180,or,repetition,incongruent,1,4
603,j,TRUE,0,0,or,repetition,congruent,1,4
662,f,TRUE,0,180,or,repetition,incongruent,1,4
639,j,TRUE,180,0,or,repetition,incongruent,1,4
418,f,TRUE,180,180,mov,switch,congruent,1,4
444,j,TRUE,0,180,mov,repetition,incongruent,1,4
641,j,TRUE,0,0,or,switch,congruent,1,4
860,j,TRUE,0,0,or,repetition,congruent,1,4
492,j,TRUE,0,180,mov,switch,incongruent,1,4
581,j,TRUE,0,0,mov,repetition,congruent,1,4
502,j,TRUE,0,0,mov,repetition,congruent,1,4
594,j,TRUE,0,180,mov,repetition,incongruent,1,4
758,f,TRUE,180,0,mov,repetition,incongruent,1,4
537,j,TRUE,180,0,or,switch,incongruent,1,4
658,j,FALSE,0,180,or,repetition,incongruent,1,4
481,j,TRUE,0,0,mov,switch,congruent,1,4
631,j,TRUE,0,0,or,switch,congruent,1,4
540,f,TRUE,0,180,or,repetition,incongruent,1,4
678,j,TRUE,0,0,or,repetition,congruent,1,4
537,j,TRUE,0,0,mov,switch,congruent,1,4
715,f,FALSE,0,180,mov,repetition,incongruent,1,4
649,j,TRUE,0,0,or,switch,congruent,1,4
615,j,TRUE,0,180,mov,switch,incongruent,1,4
441,f,TRUE,180,0,mov,repetition,incongruent,1,4
419,f,TRUE,180,180,mov,repetition,congruent,1,4
637,f,TRUE,180,0,mov,repetition,incongruent,1,4
471,f,TRUE,0,180,or,switch,incongruent,1,4
484,j,TRUE,0,0,or,repetition,congruent,1,4
450,j,TRUE,0,0,mov,switch,congruent,1,4
808,j,TRUE,180,0,or,switch,incongruent,1,4
458,f,TRUE,0,180,or,repetition,incongruent,1,4
414,j,TRUE,0,0,or,repetition,congruent,1,4
504,j,TRUE,0,180,mov,switch,incongruent,1,4
439,j,TRUE,0,0,mov,repetition,congruent,1,4
396,j,TRUE,0,180,mov,repetition,incongruent,1,4
451,j,TRUE,0,180,mov,repetition,incongruent,1,4
639,j,TRUE,0,0,or,switch,congruent,1,4
439,j,TRUE,0,0,mov,switch,congruent,1,4
603,j,TRUE,180,0,or,switch,incongruent,1,4
772,j,TRUE,0,0,mov,switch,congruent,1,4
418,f,TRUE,180,180,or,switch,congruent,1,4
516,j,TRUE,0,0,mov,switch,congruent,1,4
462,f,TRUE,180,0,mov,repetition,incongruent,1,4
536,f,TRUE,180,0,mov,repetition,incongruent,1,4
559,j,TRUE,180,0,or,switch,incongruent,1,4
578,f,TRUE,180,180,or,repetition,congruent,1,4
558,j,TRUE,0,0,or,repetition,congruent,1,4
594,j,TRUE,180,0,or,repetition,incongruent,1,4
547,f,TRUE,180,0,mov,switch,incongruent,1,4
575,j,TRUE,0,180,mov,repetition,incongruent,1,4
748,f,TRUE,0,180,or,switch,incongruent,1,4
838,f,TRUE,180,180,or,repetition,congruent,1,4
497,j,TRUE,0,0,mov,switch,congruent,1,4
596,j,TRUE,180,0,or,switch,incongruent,1,4
581,j,TRUE,0,0,or,repetition,congruent,1,4
548,f,TRUE,0,180,or,repetition,incongruent,1,4
576,j,TRUE,0,180,mov,switch,incongruent,1,4
528,j,TRUE,0,0,mov,repetition,congruent,1,4
471,f,TRUE,180,180,or,switch,congruent,1,4
554,f,TRUE,180,0,mov,switch,incongruent,1,4
526,f,TRUE,180,180,or,switch,congruent,1,4
583,f,TRUE,180,0,mov,switch,incongruent,1,4
535,f,TRUE,180,0,mov,repetition,incongruent,1,4
650,f,TRUE,180,180,or,switch,congruent,1,4
581,j,TRUE,180,0,or,repetition,incongruent,1,4
576,f,TRUE,0,180,or,repetition,incongruent,1,4
543,f,TRUE,180,180,or,repetition,congruent,1,4
606,f,TRUE,180,180,or,repetition,congruent,1,4
682,f,TRUE,180,180,mov,switch,congruent,1,4
594,f,TRUE,180,180,mov,repetition,congruent,1,4
516,j,TRUE,0,0,mov,repetition,congruent,1,4
586,j,TRUE,180,0,or,switch,incongruent,1,4
525,f,TRUE,180,180,or,repetition,congruent,1,4
580,f,TRUE,180,180,mov,switch,congruent,1,4
592,f,TRUE,180,180,or,switch,congruent,1,4
582,f,TRUE,180,180,mov,switch,congruent,1,4
615,f,TRUE,0,180,or,switch,incongruent,1,4
769,f,TRUE,0,180,or,repetition,incongruent,1,4
459,f,TRUE,180,0,mov,switch,incongruent,1,4
547,j,TRUE,180,0,or,switch,incongruent,1,4
515,f,TRUE,180,180,or,repetition,congruent,1,4
486,f,TRUE,180,180,mov,switch,congruent,1,4
671,f,TRUE,0,180,or,switch,incongruent,1,4
559,f,TRUE,180,180,mov,switch,congruent,1,4
540,f,TRUE,180,180,mov,repetition,congruent,1,4
674,f,TRUE,180,0,mov,repetition,incongruent,1,4
471,f,TRUE,180,0,mov,repetition,incongruent,1,4
599,f,TRUE,180,180,or,switch,congruent,1,4
591,f,TRUE,180,180,mov,switch,congruent,1,4
566,j,TRUE,0,180,mov,null,incongruent,1,5
449,f,TRUE,180,0,mov,repetition,incongruent,1,5
538,f,TRUE,180,180,or,switch,congruent,1,5
421,f,TRUE,180,0,mov,switch,incongruent,1,5
538,f,TRUE,180,180,or,switch,congruent,1,5
439,j,TRUE,0,180,mov,switch,incongruent,1,5
486,f,TRUE,0,180,or,switch,incongruent,1,5
549,f,TRUE,180,180,or,repetition,congruent,1,5
565,f,TRUE,0,180,or,repetition,incongruent,1,5
604,f,TRUE,180,180,or,repetition,congruent,1,5
451,j,TRUE,0,0,mov,switch,congruent,1,5
442,f,TRUE,180,180,mov,repetition,congruent,1,5
549,j,TRUE,180,0,or,switch,incongruent,1,5
587,j,TRUE,180,0,or,repetition,incongruent,1,5
617,f,TRUE,0,180,or,repetition,incongruent,1,5
637,f,TRUE,0,180,or,repetition,incongruent,1,5
594,f,TRUE,180,180,or,repetition,congruent,1,5
499,j,TRUE,0,180,mov,switch,incongruent,1,5
504,f,TRUE,0,180,or,switch,incongruent,1,5
472,f,TRUE,180,0,mov,switch,incongruent,1,5
493,j,TRUE,0,180,mov,repetition,incongruent,1,5
593,j,TRUE,180,0,or,switch,incongruent,1,5
549,j,TRUE,0,180,mov,switch,incongruent,1,5
471,f,TRUE,180,180,mov,repetition,congruent,1,5
575,j,TRUE,180,0,or,switch,incongruent,1,5
540,f,TRUE,180,180,or,repetition,congruent,1,5
526,j,TRUE,0,0,or,repetition,congruent,1,5
626,f,TRUE,0,180,or,repetition,incongruent,1,5
717,j,TRUE,0,0,or,repetition,congruent,1,5
481,j,TRUE,0,0,mov,switch,congruent,1,5
594,j,TRUE,180,0,or,switch,incongruent,1,5
646,f,TRUE,0,180,or,repetition,incongruent,1,5
627,f,TRUE,180,180,or,repetition,congruent,1,5
581,f,TRUE,0,180,or,repetition,incongruent,1,5
460,f,TRUE,180,180,mov,switch,congruent,1,5
493,j,TRUE,0,0,mov,repetition,congruent,1,5
481,j,TRUE,0,180,mov,repetition,incongruent,1,5
600,j,TRUE,180,0,or,switch,incongruent,1,5
583,j,TRUE,180,0,or,repetition,incongruent,1,5
620,f,TRUE,180,180,mov,switch,congruent,1,5
492,f,TRUE,180,180,mov,repetition,congruent,1,5
605,f,TRUE,180,180,or,switch,congruent,1,5
510,f,TRUE,180,0,mov,switch,incongruent,1,5
515,j,TRUE,0,0,mov,repetition,congruent,1,5
473,j,TRUE,0,0,mov,repetition,congruent,1,5
471,f,TRUE,180,0,mov,repetition,incongruent,1,5
493,f,TRUE,180,0,mov,repetition,incongruent,1,5
470,f,TRUE,180,0,mov,repetition,incongruent,1,5
540,f,TRUE,180,180,mov,repetition,congruent,1,5
450,j,TRUE,0,180,mov,repetition,incongruent,1,5
549,j,TRUE,0,0,or,switch,congruent,1,5
640,j,TRUE,0,0,mov,switch,congruent,1,5
887,j,TRUE,180,0,or,switch,incongruent,1,5
542,f,TRUE,180,0,mov,switch,incongruent,1,5
595,j,TRUE,0,0,or,switch,congruent,1,5
748,j,TRUE,180,0,or,repetition,incongruent,1,5
541,f,TRUE,180,0,mov,switch,incongruent,1,5
706,f,TRUE,0,180,or,switch,incongruent,1,5
580,f,TRUE,180,180,mov,switch,congruent,1,5
640,j,TRUE,180,0,or,switch,incongruent,1,5
508,j,TRUE,0,180,mov,switch,incongruent,1,5
597,j,TRUE,0,0,mov,repetition,congruent,1,5
602,j,TRUE,0,0,or,switch,congruent,1,5
